Id,Designator,Package,Quantity,Designation,Supplier and ref,,
36,R4,R_0201_0603Metric,1,43K,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-1GNF4302C/P122417CT-ND/7389443,,
37,C5,C_0603_1608Metric,1,10 uF/10V,www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R61A106KE69J/490-14372-1-ND/6606833,,
38,C7,C_0603_1608Metric,1,22uf/6.3v,www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J226MEA0D/490-7611-1-ND/4280544,,
39,C8,C_0603_1608Metric,1,10uf/10v,www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R61A106KE69J/490-14372-1-ND/6606833,,
40,L1,L_3x3_H3,1,1 uH/2.2A,www.digikey.in/product-detail/en/wurth-electronics-inc/74404032010/732-5491-1-ND/4865385,,
41,R7,R_0402_1005Metric,1,178K,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0402FT178K/RMCF0402FT178KCT-ND/2417537,,
42,R27,R_0402_1005Metric,1,NC / 10 K,https://www.digikey.com/product-detail/en/susumu/RG1005P-103-D-T10/RG10P10.0KDCT-ND/1288021,,
43,R28,R_0402_1005Metric,1,NC/ 10 K,https://www.digikey.com/product-detail/en/susumu/RG1005P-103-D-T10/RG10P10.0KDCT-ND/1288021,,
44,"C14,C16,C17",C_0201_0603Metric,3,0.4uf/10v,https://www.digikey.com/product-detail/en/taiyo-yuden/LMK063BC6474KPLF/587-6389-1-ND/9947934,,
45,"C26,C27,C32,C33",C_0603_1608Metric,4,0.1uF/10v,www.digikey.com/product-detail/en/kemet/C0603C104K8RACTU/399-1095-1-ND/411370,,
46,"C34,C18",C_0603_1608Metric,2,10uF/10v,www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R61A106KE69J/490-14372-1-ND/6606833,,
47,"C39,C40",C_0402_1005Metric,2,18pF/10v,www.digikey.com/products/en?keywords=445-13469-1-ND,,
48,C43,C_0603_1608Metric,1,1uF/10v,www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10A105KP8NNNC/1276-1182-1-ND/3889268,,
49,C46,C_0603_1608Metric,1,10 uF/10v,www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R61A106KE69J/490-14372-1-ND/6606833,,
50,"R37,R38,R39,R41,R43,R45,R46,R47,R49",R_0402_1005Metric,9,1 K,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-2AED102X/P1.0KDECT-ND/1706280,,
51,R40,R_0402_1005Metric,1,9.53 K,https://www.digikey.com/product-detail/en/yageo/RC0402FR-079K53L/311-9.53KLRCT-ND/729616,,
52,R44,R_0402_1005Metric,1,1 M,https://www.digikey.com/product-detail/en/yageo/RC0402JR-071ML/311-1.0MJRCT-ND/729356,,
53,"R51,R53,R57,R58",R_0402_1005Metric,4,4.7 K,https://www.digikey.com/product-detail/en/yageo/RC0402JR-074K7L/311-4.7KJRCT-ND/729424,,
54,R54,R_0402_1005Metric,1,90.9 K,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0402FT90K9/RMCF0402FT90K9CT-ND/6053132,,
55,SW2,SW_DIP_SPSTx06_Slide_6.7x16.8mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x06,https://www.digikey.com/product-detail/en/c-k/BD06/CKN3005-ND/181323,,
56,SW4,SW_DIP_SPSTx08_Slide_6.7x21.88mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x08,https://www.digikey.com/product-detail/en/c-k/BD08/CKN3007-ND/181325,,
57,U7,QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm_ThermalVias,1,USB_HUB,www.digikey.in/product-detail/en/texas-instruments/TUSB8042RGCT/296-47475-1-ND/7896964,,
58,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24 MHz,www.digikey.com/product-detail/en/kyocera-international-inc-electronic-components/CX3225GB24000P0HPQCC/1253-1198-1-ND/4454036,,
59,U5,TPS62082-WSON,1,TPS62082-WSON,www.digikey.in/product-detail/en/texas-instruments/TPS62082DSGT/296-29647-1-ND/2756421,,
60,e1,R_0201_0603Metric,1,105 K,https://www.digikey.com/product-detail/en/yageo/RC0201FR-07105KL/311-105KMCT-ND/1948969,,
61,J6,PinHeader_1x02_P1.00mm_Vertical,1,Conn_01x02_Female,www.digikey.in/product-detail/en/sullins-connector-solutions/SMH100-LPSE-S40-ST-BK/S9219-ND/2039523,,
62,"JP3,JP8,JP9",JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,3,Jumper_3_Open,www.digikey.in/product-detail/en/wurth-electronics-inc/61300311121/732-5316-ND/4846825,,
63,"JP6,JP4,JP5,JP7",PinHeader_1x02_P1.00mm_Vertical,4,Jumper_2_Open,www.digikey.in/product-detail/en/sullins-connector-solutions/SMH100-LPSE-S40-ST-BK/S9219-ND/2039523,,
64,"JP1,JP2",PinHeader_1x02_P1.00mm_Vertical,2,Jumper_NO_Small,www.digikey.in/product-detail/en/sullins-connector-solutions/SMH100-LPSE-S40-ST-BK/S9219-ND/2039523,,
